full_name,name,owner,url,stars,forks
"BeulahPerry/scaffold-eth-2----scaffold-eth","scaffold-eth-2----scaffold-eth","BeulahPerry","https://github.com/BeulahPerry/scaffold-eth-2----scaffold-eth",0,0
"saremeskandary/flare-safeguard","flare-safeguard","saremeskandary","https://github.com/saremeskandary/flare-safeguard",0,0
"okuspocus/Team9EncodeDeAIBootcamp2025-UAVguardChain","Team9EncodeDeAIBootcamp2025-UAVguardChain","okuspocus","https://github.com/okuspocus/Team9EncodeDeAIBootcamp2025-UAVguardChain",0,2
"Samuel1505/Multisig-Wallet","Multisig-Wallet","Samuel1505","https://github.com/Samuel1505/Multisig-Wallet",0,0
"Agooni1/Ethernaut","Ethernaut","Agooni1","https://github.com/Agooni1/Ethernaut",0,0
"Shnikbakht/RWA-Tokenization-YorkU","RWA-Tokenization-YorkU","Shnikbakht","https://github.com/Shnikbakht/RWA-Tokenization-YorkU",0,0
"taswinuho/evmnext","evmnext","taswinuho","https://github.com/taswinuho/evmnext",0,0
"DevDiner/erc1155-dapp","erc1155-dapp","DevDiner","https://github.com/DevDiner/erc1155-dapp",0,0
"kmjones1979/se2-kg-example","se2-kg-example","kmjones1979","https://github.com/kmjones1979/se2-kg-example",0,0
"synnielxy/scaffold-uniswap-v2-foundry","scaffold-uniswap-v2-foundry","synnielxy","https://github.com/synnielxy/scaffold-uniswap-v2-foundry",0,0
"kmjones1979/rock-paper-scissors","rock-paper-scissors","kmjones1979","https://github.com/kmjones1979/rock-paper-scissors",2,2
"hype1524/Challenge-6-multisig","Challenge-6-multisig","hype1524","https://github.com/hype1524/Challenge-6-multisig",0,0
"Samuel1505/DICE-Game","DICE-Game","Samuel1505","https://github.com/Samuel1505/DICE-Game",0,0
"Samuel1505/DEX-Exchange","DEX-Exchange","Samuel1505","https://github.com/Samuel1505/DEX-Exchange",0,0
"alebeta06/my_dex","my_dex","alebeta06","https://github.com/alebeta06/my_dex",1,0
"mglyphs/speedrun-ethereum-challenges","speedrun-ethereum-challenges","mglyphs","https://github.com/mglyphs/speedrun-ethereum-challenges",0,0
"kmjones1979/celo-subgraph-workshop","celo-subgraph-workshop","kmjones1979","https://github.com/kmjones1979/celo-subgraph-workshop",0,0
"XanDev3/op-message-passing","op-message-passing","XanDev3","https://github.com/XanDev3/op-message-passing",0,0
"tapaswi-v-s/INFO7500-hw-6-7","INFO7500-hw-6-7","tapaswi-v-s","https://github.com/tapaswi-v-s/INFO7500-hw-6-7",0,0
"kmjones1979/rps-vibe-code","rps-vibe-code","kmjones1979","https://github.com/kmjones1979/rps-vibe-code",0,0
"yoyoj1023/ethernaut-level-solutions","ethernaut-level-solutions","yoyoj1023","https://github.com/yoyoj1023/ethernaut-level-solutions",3,0
"big14way/dex_solustionspeedrun","dex_solustionspeedrun","big14way","https://github.com/big14way/dex_solustionspeedrun",0,0
"abrahem79/Tooken","Tooken","abrahem79","https://github.com/abrahem79/Tooken",1,0
"Buidl-Land/BuidlLand-Endless","BuidlLand-Endless","Buidl-Land","https://github.com/Buidl-Land/BuidlLand-Endless",1,0
"kmjones1979/yolo-governance-vibe-code","yolo-governance-vibe-code","kmjones1979","https://github.com/kmjones1979/yolo-governance-vibe-code",0,0
